datetime;%;plugged
2021-04-13 16:52:53;79;0
2021-04-13 16:53:53;77;0
2021-04-13 16:54:53;77;0
2021-04-13 16:55:53;76;0
2021-04-13 16:56:53;75;0
2021-04-13 16:57:53;74;0
2021-04-13 16:58:54;73;0
2021-04-13 16:59:54;72;0
2021-04-13 17:00:54;71;0
2021-04-13 17:01:54;70;0
2021-04-13 17:02:54;69;0
2021-04-13 17:03:54;68;0
2021-04-13 17:04:54;67;0
2021-04-13 17:05:54;66;0
2021-04-13 17:06:54;65;0
2021-04-13 17:07:54;64;0
2021-04-13 17:08:54;63;0
2021-04-13 17:09:54;63;0
2021-04-13 17:10:54;62;0
2021-04-13 17:11:54;61;0
2021-04-13 17:12:54;60;0
2021-04-13 17:13:54;59;0
2021-04-13 17:14:54;58;0
2021-04-13 17:15:54;57;0
2021-04-13 17:16:54;56;0
2021-04-13 17:17:54;55;0
2021-04-13 17:18:54;54;0
2021-04-13 17:19:54;53;0
2021-04-13 17:20:54;52;0
2021-04-13 17:21:54;51;0
2021-04-13 17:22:54;50;0
2021-04-13 17:23:54;49;0
2021-04-13 17:24:54;47;0
2021-04-13 17:25:54;47;0
2021-04-13 17:26:54;46;0
2021-04-13 17:27:54;44;0
2021-04-13 17:28:55;44;0
2021-04-13 17:29:55;42;0
2021-04-13 17:30:55;42;0
2021-04-13 17:31:55;41;0
2021-04-13 17:32:55;39;0
2021-04-13 17:33:55;38;0
2021-04-13 17:34:55;37;0
2021-04-13 17:35:55;36;0
2021-04-13 17:36:55;35;0
2021-04-13 17:37:55;34;0
2021-04-13 17:38:55;33;0
2021-04-13 17:39:55;32;0
2021-04-13 17:40:55;32;0
2021-04-13 17:41:55;30;0
2021-04-13 17:42:55;30;0
2021-04-13 17:43:55;29;0
2021-04-13 17:44:55;27;0
2021-04-13 17:45:55;27;0
2021-04-13 17:46:55;26;0
2021-04-13 17:47:55;24;0
2021-04-13 17:48:55;24;0
2021-04-13 17:49:55;23;0
2021-04-13 17:50:55;21;0
2021-04-13 17:51:55;20;0
2021-04-13 17:52:55;19;0
2021-04-13 17:53:55;18;0
2021-04-13 17:54:56;17;0
2021-04-13 17:55:56;17;1
2021-04-13 17:56:56;18;1
2021-04-13 17:57:56;19;1
2021-04-13 17:58:56;20;1
2021-04-13 17:59:56;20;1
2021-04-13 18:00:56;21;1
2021-04-13 18:01:56;22;1
2021-04-13 18:02:56;23;1
2021-04-13 18:03:56;24;1
2021-04-13 18:04:56;25;1
2021-04-13 18:05:56;25;1
2021-04-13 18:06:56;26;1
2021-04-13 18:07:56;27;1
2021-04-13 18:08:56;28;1
2021-04-13 18:09:56;29;1
2021-04-13 18:10:56;30;1
2021-04-13 18:11:56;31;1
2021-04-13 18:12:56;31;1
2021-04-13 18:13:56;32;1
2021-04-13 18:14:56;33;1
2021-04-13 18:15:56;34;1
2021-04-13 18:16:56;35;1
2021-04-13 18:17:56;36;1
2021-04-13 18:18:56;36;1
2021-04-13 18:19:56;37;1
2021-04-13 18:20:57;38;1
2021-04-13 18:21:57;39;1
2021-04-13 18:22:57;40;1
2021-04-13 18:23:57;41;1
2021-04-13 18:24:57;41;1
2021-04-13 18:25:57;42;1
2021-04-13 18:26:57;43;1
2021-04-13 18:27:57;44;1
2021-04-13 18:28:57;45;1
2021-04-13 18:29:57;46;1
2021-04-13 18:30:57;47;1
2021-04-13 18:31:57;47;1
2021-04-13 18:32:57;48;1
2021-04-13 18:33:57;49;1
2021-04-13 18:34:57;50;1
2021-04-13 18:35:57;51;1
2021-04-13 18:36:57;52;1
2021-04-13 18:37:57;53;1
2021-04-13 18:38:57;53;1
2021-04-13 18:39:57;54;1
2021-04-13 18:40:57;55;1
2021-04-13 18:41:57;56;1
2021-04-13 18:42:57;57;1
2021-04-13 18:43:57;58;1
2021-04-13 18:44:57;59;1
2021-04-13 18:45:57;59;1
2021-04-13 18:46:57;60;1
2021-04-13 18:47:57;61;1
2021-04-13 18:48:57;62;1
2021-04-13 18:49:57;63;1
2021-04-13 18:50:58;64;1
2021-04-13 18:51:58;65;1
2021-04-13 18:52:58;65;1
2021-04-13 18:53:58;66;1
2021-04-13 18:54:58;67;1
2021-04-13 18:55:58;68;1
2021-04-13 18:56:58;69;1
2021-04-13 18:57:58;70;1
2021-04-13 18:58:58;71;1
2021-04-13 18:59:58;72;1
2021-04-13 19:00:58;72;1
2021-04-13 19:01:58;73;1
2021-04-13 19:02:58;74;1
2021-04-13 19:03:58;75;1
2021-04-13 19:04:58;76;1
2021-04-13 19:05:58;77;1
2021-04-13 19:23:03;89;1
2021-04-13 19:26:07;90;1
2021-04-13 19:27:07;91;1
2021-04-13 19:28:07;91;1
2021-04-13 19:29:07;92;1
2021-04-13 19:30:07;92;1
2021-04-13 19:31:07;92;1
2021-04-13 19:32:07;93;1
2021-04-13 19:33:07;93;1
2021-04-13 19:34:07;93;1
2021-04-13 19:35:07;94;1
2021-04-13 19:36:07;94;1
2021-04-13 19:37:07;94;1
2021-04-13 19:38:07;95;1
2021-04-13 19:39:07;95;1
2021-04-13 19:40:07;95;1
2021-04-13 19:41:07;95;1
2021-04-13 19:42:07;96;1
2021-04-13 19:43:07;95;0
2021-04-13 19:44:07;94;0
2021-04-13 19:45:07;94;0
2021-04-13 19:46:07;93;0
2021-04-13 19:47:07;92;0
2021-04-13 19:48:07;91;0
2021-04-13 19:49:07;91;0
2021-04-13 19:50:07;90;0
2021-04-13 19:51:07;89;0
2021-04-13 19:52:07;88;0
2021-04-13 19:53:07;88;0
2021-04-13 19:54:08;87;0
2021-04-13 19:55:08;86;0
2021-04-13 19:56:08;85;0
2021-04-13 19:57:08;84;0
2021-04-13 19:58:08;83;0
2021-04-13 19:59:08;82;0
2021-04-13 20:00:08;80;0
2021-04-13 20:01:08;80;0
2021-04-13 20:02:08;78;0
2021-04-13 20:03:08;77;0
2021-04-13 20:04:08;76;0
2021-04-13 20:05:08;75;0
2021-04-13 20:06:08;73;0
2021-04-13 20:07:08;72;0
2021-04-13 20:08:08;72;0
2021-04-13 20:09:08;70;0
2021-04-13 20:10:08;69;0
2021-04-13 20:11:08;68;0
2021-04-13 20:12:08;67;0
2021-04-13 20:13:08;66;0
2021-04-13 20:14:08;65;0
2021-04-13 20:15:08;64;0
2021-04-13 20:16:08;63;0
2021-04-13 20:17:08;62;0
2021-04-13 20:18:09;61;0
2021-04-13 20:19:09;60;0
2021-04-13 20:20:09;59;0
2021-04-13 20:21:09;58;0
2021-04-13 20:22:09;57;0
2021-04-13 20:23:09;56;0
2021-04-13 20:24:09;55;0
